ALL,Financials,Allstate Corp
ALLE,Industrials,Allegion PLC
ALLG,Consumer Discretionary,Allego NV
ALLY,Financials,Ally Financial Inc
ALSN,Industrials,Allison Transmission Holdings Inc
ALTG,Industrials,Alta Equipment Group Inc
ALV,Consumer Discretionary,Autoliv Inc
ALX,Real Estate,Alexander's Inc
AM,Energy,Antero Midstream Corp
AMBC,Financials,Ambac Financial Group Inc
AMBP,Materials,Ardagh Metal Packaging SA
AMC,Communication Services,AMC Entertainment Holdings Inc
AMCR,Materials,Amcor PLC
AME,Industrials,AMETEK Inc
AMG,Financials,Affiliated Managers Group Inc
AMH,Real Estate,American Homes 4 Rent
AMK,Financials,AssetMark Financial Holdings Inc
AMN,Health Care,AMN Healthcare Services Inc
AMP,Financials,Ameriprise Financial Inc
AMPS,Utilities,Altus Power Inc
AMPX,Industrials,Amprius Technologies Inc
AMPY,Energy,Amplify Energy Corp
AMR,Materials,Alpha Metallurgical Resources Inc
AMRC,Industrials,Ameresco Inc
AMRX,Health Care,Amneal Pharmaceuticals Inc
AMT,Real Estate,American Tower Corp
AMTD,Financials,AMTD IDEA Group
AMWL,Health Care,American Well Corp
AMX,Communication Services,America Movil SAB de CV
AN,Consumer Discretionary,AutoNation Inc
ANET,Information Technology,Arista Networks Inc
ANF,Consumer Discretionary,Abercrombie & Fitch Co
ANVS,Health Care,Annovis Bio Inc
AOMR,Financials,Angel Oak Mortgage REIT Inc
AON,Financials,Aon PLC
AORT,Health Care,Artivion Inc
AOS,Industrials,A O Smith Corp
AP,Materials,Ampco-Pittsburgh Corp
APAM,Financials,Artisan Partners Asset Management Inc
APD,Materials,Air Products and Chemicals Inc
APE,Communication Services,AMC Entertainment Holdings Inc
APG,Industrials,APi Group Corp
APH,Information Technology,Amphenol Corp
APLE,Real Estate,Apple Hospitality REIT Inc
APO,Financials,Apollo Global Management Inc
APRN,Consumer Staples,Blue Apron Holdings Inc
APTV,Consumer Discretionary,Aptiv PLC
AQN,Utilities,Algonquin Power & Utilities Corp
AR,Energy,Antero Resources Corp
ARC,Industrials,ARC Document Solutions Inc
ARCH,Energy,Arch Resources Inc
ARCO,Consumer Discretionary,Arcos Dorados Holdings Inc
ARE,Real Estate,Alexandria Real Estate Equities Inc
ARES,Financials,Ares Management Corp
ARGO,Financials,Argo Group International Holdings Ltd
ARI,Financials,Apollo Commercial Real Estate Finance Inc
ARIS,Industrials,Aris Water Solutions Inc
ARL,Real Estate,American Realty Investors Inc
ARLO,Information Technology,Arlo Technologies Inc
ARMK,Consumer Discretionary,Aramark
ARNC,Materials,Arconic Corp (PITTSBURGH)
AROC,Energy,Archrock Inc
ARR,Financials,ARMOUR Residential REIT Inc
ARW,Information Technology,Arrow Electronics Inc
ASAI,Consumer Staples,Sendas Distribuidora SA
ASAN,Information Technology,Asana Inc
ASB,Financials,Associated Banc-Corp
ASC,Energy,Ardmore Shipping Corp
ASGN,Industrials,ASGN Inc
ASH,Materials,Ashland Inc
ASIX,Materials,AdvanSix Inc
ASPN,Materials,Aspen Aerogels Inc
ASR,Industrials,Grupo Aeroportuario del Sureste SAB de CV
ASX,Information Technology,ASE Technology Holding Co Ltd
ATEN,Information Technology,A10 Networks Inc
ATGE,Consumer Discretionary,Adtalem Global Education Inc
ATHM,Communication Services,Autohome Inc
ATI,Materials,ATI Inc
ATIP,Health Care,ATI Physical Therapy Inc
ATKR,Industrials,Atkore Inc
ATMU,Consumer Discretionary,Atmus Filtration Technologies Inc
ATO,Utilities,Atmos Energy Corp
ATR,Materials,Aptargroup Inc
ATS,Industrials,ATS Corp
ATTO,Industrials,Atento SA
ATUS,Communication Services,Altice USA Inc
AU,Materials,AngloGold Ashanti Ltd
AUB,Financials,Atlantic Union Bankshares Corp
AVA,Utilities,Avista Corp
AVAL,Financials,Grupo Aval Acciones y Valores SA
AVB,Real Estate,Avalonbay Communities Inc
AVD,Materials,American Vanguard Corp
AVNS,Health Care,Avanos Medical Inc
AVNT,Materials,Avient Corp
AVTR,Health Care,Avantor Inc
AVY,Materials,Avery Dennison Corp
AWI,Industrials,Armstrong World Industries Inc
AWK,Utilities,American Water Works Company Inc
AWR,Utilities,American States Water Co
AX,Financials,Axos Financial Inc
AXL,Consumer Discretionary,American Axle & Manufacturing Holdings Inc
AXP,Financials,American Express Co
AXR,Real Estate,AMREP Corp
AXS,Financials,AXIS Capital Holdings Ltd
AXTA,Materials,Axalta Coating Systems Ltd
AYI,Industrials,Acuity Brands Inc
AYX,Information Technology,Alteryx Inc
AZEK,Industrials,Azek Company Inc
AZO,Consumer Discretionary,Autozone Inc
AZRE,Utilities,Azure Power Global Ltd
AZUL,Industrials,Azul SA
AZZ,Industrials,AZZ Inc
B,Industrials,Barnes Group Inc
BA,Industrials,Boeing Co
BABA,Consumer Discretionary,Alibaba Group Holding Ltd
BAC,Financials,Bank of America Corp
BAH,Industrials,Booz Allen Hamilton Holding Corp
BAK,Materials,Braskem SA
BALL,Materials,Ball Corp
BALY,Consumer Discretionary,Bally's Corp
BAM,Financials,BROOKFIELD ASSET MANAGEMENT LTD
BANC,Financials,Banc of California Inc
BAP,Financials,Credicorp Ltd
BARK,Consumer Discretionary,Bark Inc
BAX,Health Care,Baxter International Inc
BB,Information Technology,BlackBerry Ltd
BBAI,Information Technology,BigBear.ai Holdings Inc
BBAR,Financials,Banco Bbva Argentina SA
BBD,Financials,Banco Bradesco SA
BBDO,Financials,Banco Bradesco SA
BBLN,Health Care,Babylon Holdings Ltd
BBUC,Industrials,Brookfield Business Corp
BBVA,Financials,Banco Bilbao Vizcaya Argentaria SA
BBW,Consumer Discretionary,Build-A-Bear Workshop Inc
BBWI,Consumer Discretionary,Bath & Body Works Inc
BBY,Consumer Discretionary,Best Buy Co Inc
BC,Consumer Discretionary,Brunswick Corp
BCC,Industrials,Boise Cascade Co
BCE,Communication Services,BCE Inc
BCH,Financials,Banco de Chile
BCO,Industrials,Brinks Co
BCS,Financials,Barclays PLC
BDC,Information Technology,Belden Inc
BDN,Real Estate,Brandywine Realty Trust
BDX,Health Care,Becton Dickinson and Co
BE,Industrials,Bloom Energy Corp
BEDU,Consumer Discretionary,Bright Scholar Education Holdings Ltd
BEKE,Real Estate,Ke Holdings Inc
BEN,Financials,Franklin Resources Inc
BEPC,Utilities,Brookfield Renewable Corp
BERY,Materials,Berry Global Group Inc
BEST,Industrials,BEST Inc
BFAM,Consumer Discretionary,Bright Horizons Family Solutions Inc
BFH,Financials,Bread Financial Holdings Inc
BFLY,Health Care,Butterfly Network Inc
BFS,Real Estate,Saul Centers Inc
BFa,Consumer Staples,Brown-Forman Corp
BFb,Consumer Staples,Brown-Forman Corp
BG,Consumer Staples,Bunge Ltd
BGS,Consumer Staples,B&G Foods Inc
BGSF,Industrials,BGSF Inc
BH,Consumer Discretionary,Biglari Holdings Inc
BHC,Health Care,Bausch Health Companies Inc
BHE,Information Technology,Benchmark Electronics Inc
BHG,Financials,Bright Health Group Inc
BHIL,Consumer Staples,Benson Hill Inc
BHLB,Financials,Berkshire Hills Bancorp Inc
BHP,Materials,BHP Group Ltd
BHR,Real Estate,Braemar Hotels & Resorts Inc
BHVN,Health Care,Biohaven Ltd
BHa,Consumer Discretionary,Biglari Holdings Inc
BIG,Consumer Discretionary,Big Lots Inc
BILL,Information Technology,BILL Holdings Inc
BIO,Health Care,Bio Rad Laboratories Inc
BIOb,Health Care,Bio Rad Laboratories Inc
BIPC,Utilities,Brookfield Infrastructure Corp
BJ,Consumer Staples,BJ's Wholesale Club Holdings Inc
BK,Financials,Bank of New York Mellon Corp
BKD,Health Care,Brookdale Senior Living Inc
BKE,Consumer Discretionary,Buckle Inc
BKH,Utilities,Black Hills Corp
BKI,Information Technology,Black Knight Inc
BKKT,Financials,Bakkt Holdings Inc
BKSY,Industrials,Blacksky Technology Inc
BKU,Financials,BankUnited Inc
BLCO,Health Care,Bausch + Lomb Corp
BLD,Consumer Discretionary,TopBuild Corp
BLDR,Industrials,Builders FirstSource Inc
BLK,Financials,BlackRock Inc
BLND,Information Technology,Blend Labs Inc
BLX,Financials,Foreign Trade Bank of Latin America Inc
BMA,Financials,Banco Macro SA
BMI,Information Technology,Badger Meter Inc
BMO,Financials,Bank of Montreal
BMY,Health Care,Bristol-Myers Squibb Co
BN,Financials,Brookfield Corp
BNED,Consumer Discretionary,Barnes & Noble Education Inc
BNL,Real Estate,Broadstone Net Lease Inc
BNRE,Financials,Brookfield Reinsurance Ltd
BNS,Financials,Bank of Nova Scotia
BOC,Communication Services,Boston Omaha Corp
BODY,Consumer Discretionary,Beachbody Company Inc
BOH,Financials,Bank of Hawaii Corp
BOOT,Consumer Discretionary,Boot Barn Holdings Inc
BORR,Energy,Borr Drilling Ltd
BOWL,Consumer Discretionary,Bowlero Corp
BOX,Information Technology,Box Inc
BP,Energy,BP PLC
BPT,Energy,BP Prudhoe Bay Royalty Trust
BQ,Consumer Discretionary,Boqii Holding Ltd
BR,Industrials,Broadridge Financial Solutions Inc
BRBR,Consumer Staples,Bellring Brands Inc
BRC,Industrials,Brady Corp
BRCC,Consumer Staples,BRC Inc
BRDG,Financials,Bridge Investment Group Holdings Inc
BRDS,Industrials,Bird Global Inc
BRFS,Consumer Staples,BRF SA
BRKa,Financials,Berkshire Hathaway Inc
BRKb,Financials,Berkshire Hathaway Inc
BRO,Financials,Brown & Brown Inc
BROS,Consumer Discretionary,Dutch Bros Inc
BRSP,Financials,Brightspire Capital Inc
BRT,Real Estate,BRT Apartments Corp
BRX,Real Estate,Brixmor Property Group Inc
BSAC,Financials,Banco Santander-Chile
BSBR,Financials,Banco Santander Brasil SA
BSIG,Financials,Brightsphere Investment Group Inc
BSX,Health Care,Boston Scientific Corp
BTCM,Information Technology,BIT Mining Ltd
BTE,Energy,Baytex Energy Corp
BTI,Consumer Staples,British American Tobacco PLC
BTU,Energy,Peabody Energy Corp
BUD,Consumer Staples,Anheuser-Busch Inbev SA
BUR,Financials,Burford Capital Ltd
BURL,Consumer Discretionary,Burlington Stores Inc
BV,Industrials,Brightview Holdings Inc
BVH,Consumer Discretionary,Bluegreen Vacations Holding Corp
BVN,Materials,Compania de Minas Buenaventura SAA
BW,Industrials,Babcock & Wilcox Enterprises Inc
BWA,Consumer Discretionary,Borgwarner Inc
BWXT,Industrials,BWX Technologies Inc
BX,Financials,Blackstone Inc
BXC,Industrials,Bluelinx Holdings Inc
BXMT,Financials,Blackstone Mortgage Trust Inc
BXP,Real Estate,Boston Properties Inc
BY,Financials,Byline Bancorp Inc
BYD,Consumer Discretionary,Boyd Gaming Corp
BZH,Consumer Discretionary,Beazer Homes USA Inc
C,Financials,Citigroup Inc
CAAP,Industrials,Corporacion America Airports SA
CABO,Communication Services,Cable One Inc
CACI,Industrials,CACI International Inc
CADE,Financials,Cadence Bank
CAE,Industrials,CAE Inc
CAG,Consumer Staples,Conagra Brands Inc
CAH,Health Care,Cardinal Health Inc
CAL,Consumer Discretionary,Caleres Inc
CALX,Information Technology,Calix Inc
CANG,Consumer Discretionary,Cango Inc
CANO,Health Care,Cano Health Inc
CARR,Industrials,Carrier Global Corp
CARS,Communication Services,Cars.com Inc
CAT,Industrials,Caterpillar Inc
CATO,Consumer Discretionary,Cato Corp
CB,Financials,Chubb Ltd
CBD,Consumer Staples,Companhia Brasileira de Distribuicao SA
CBL,Real Estate,CBL & Associates Properties Inc
CBRE,Real Estate,CBRE Group Inc
CBT,Materials,Cabot Corp
CBU,Financials,Community Bank System Inc
CBZ,Industrials,CBIZ Inc
CC,Materials,Chemours Co
CCI,Real Estate,Crown Castle Inc
CCJ,Energy,Cameco Corp
CCK,Materials,Crown Holdings Inc
CCL,Consumer Discretionary,Carnival Corp
CCM,Health Care,Concord Medical Services Holdings Ltd
CCO,Communication Services,Clear Channel Outdoor Holdings Inc
CCRD,Information Technology,CoreCard Corp
CCS,Consumer Discretionary,Century Communities Inc
CCU,Consumer Staples,Compania Cervecerias Unidas SA
CDAY,Industrials,Ceridian HCM Holding Inc
CDE,Materials,Coeur Mining Inc
CDRE,Industrials,Cadre Holdings Inc
CE,Materials,Celanese Corp
CEIX,Energy,CONSOL Energy Inc
CEPU,Utilities,Central Puerto SA
CF,Materials,CF Industries Holdings Inc
CFG,Financials,Citizens Financial Group Inc
CFR,Financials,Cullen/Frost Bankers Inc
CGA,Materials,China Green Agriculture Inc
CGAU,Materials,Centerra Gold Inc
CHCT,Real Estate,Community Healthcare Trust Inc
CHD,Consumer Staples,Church & Dwight Co Inc
CHE,Health Care,Chemed Corp
CHGG,Consumer Discretionary,Chegg Inc
CHH,Consumer Discretionary,Choice Hotels International Inc
CHMI,Financials,Cherry Hill Mortgage Investment Corp
CHPT,Industrials,ChargePoint Holdings Inc
CHS,Consumer Discretionary,Chico's FAS Inc
CHT,Communication Services,Chunghwa Telecom Co Ltd
CHWY,Consumer Discretionary,Chewy Inc
CI,Health Care,Cigna Group
CIA,Financials,Citizens Inc
CIB,Financials,Bancolombia SA
CIEN,Information Technology,Ciena Corp
CIG,Utilities,Energy of Minas Gerais Co
CIGc,Utilities,Energy of Minas Gerais Co
CIM,Financials,Chimera Investment Corp
CINT,Information Technology,Ci&T Inc
CIO,Real Estate,City Office REIT Inc
CIR,Industrials,Circor International Inc
CIVI,Energy,Civitas Resources Inc
CL,Consumer Staples,Colgate-Palmolive Co
CLB,Energy,Core Laboratories NV
CLDT,Real Estate,Chatham Lodging Trust
CLF,Materials,Cleveland-Cliffs Inc
CLH,Industrials,Clean Harbors Inc
CLPR,Real Estate,Clipper Realty Inc
CLS,Information Technology,Celestica Inc
CLVT,Industrials,Clarivate PLC
CLW,Materials,Clearwater Paper Corp
CLX,Consumer Staples,Clorox Co
CM,Financials,Canadian Imperial Bank of Commerce
CMA,Financials,Comerica Inc
CMC,Materials,Commercial Metals Co
CMCM,Information Technology,Cheetah Mobile Inc
CMG,Consumer Discretionary,Chipotle Mexican Grill Inc
CMI,Industrials,Cummins Inc
CMP,Materials,Compass Minerals International Inc
CMRE,Industrials,Costamare Inc
CMS,Utilities,CMS Energy Corp
CMTG,Financials,Claros Mortgage Trust Inc
CNA,Financials,CNA Financial Corp
CNC,Health Care,Centene Corp
CNF,Financials,CNFinance Holdings Ltd
CNHI,Industrials,CNH Industrial NV
CNI,Industrials,Canadian National Railway Co
CNK,Communication Services,Cinemark Holdings Inc
CNM,Industrials,Core & Main Inc
CNMD,Health Care,Conmed Corp
CNNE,Financials,Cannae Holdings Inc
CNO,Financials,CNO Financial Group Inc
CNP,Utilities,CenterPoint Energy Inc
CNQ,Energy,Canadian Natural Resources Ltd
CNS,Financials,Cohen & Steers Inc
CNX,Energy,CNX Resources Corp
CODI,Financials,Compass Diversified Holdings
COE,Consumer Discretionary,51Talk Online Education Group
COF,Financials,Capital One Financial Corp
COHR,Information Technology,Coherent Corp
COLD,Real Estate,Americold Realty Trust Inc
COMP,Real Estate,Compass Inc
COO,Health Care,Cooper Companies Inc
COOK,Consumer Discretionary,Traeger Inc
COP,Energy,Conocophillips
CORR,Real Estate,CorEnergy Infrastructure Trust Inc
COTY,Consumer Staples,Coty Inc
COUR,Consumer Discretionary,Coursera Inc
CP,Industrials,Canadian Pacific Kansas City Ltd
CPA,Industrials,Copa Holdings SA
CPAC,Materials,Cementos Pacasmayo SAA
CPB,Consumer Staples,Campbell Soup Co
CPE,Energy,Callon Petroleum Co
CPF,Financials,Central Pacific Financial Corp
CPG,Energy,Crescent Point Energy Corp
CPK,Utilities,Chesapeake Utilities Corp
CPNG,Consumer Discretionary,Coupang Inc
CPRI,Consumer Discretionary,Capri Holdings Ltd
CPS,Consumer Discretionary,Cooper-Standard Holdings Inc
CPT,Real Estate,Camden Property Trust
CPTK,NULL,Crown PropTech Acquisitions
CR,Industrials,Crane Co
CRBG,Financials,Corebridge Financial Inc
CRC,Energy,California Resources Corp
CRDa,Financials,Crawford & Co
CRDb,Financials,Crawford & Co
CRGY,Energy,Crescent Energy Co
CRH,Materials,CRH PLC
CRI,Consumer Discretionary,Carter's Inc
CRK,Energy,Comstock Resources Inc
CRL,Health Care,Charles River Laboratories International Inc
CRM,Information Technology,Salesforce Inc
CRS,Materials,Carpenter Technology Corp
CRT,Energy,Cross Timbers Royalty Trust
CS,Financials,Credit Suisse Group AG
CSAN,Energy,Cosan SA
CSL,Industrials,Carlisle Companies Inc
CSR,Real Estate,Centerspace
CSTM,Materials,Constellium SE
CSV,Consumer Discretionary,Carriage Services Inc
CTLT,Health Care,Catalent Inc
CTO,Real Estate,CTO Realty Growth Inc
CTOS,Industrials,Custom Truck One Source Inc
CTRA,Energy,Coterra Energy Inc
CTRE,Real Estate,CareTrust REIT Inc
CTS,Information Technology,CTS Corp
CTV,Communication Services,Innovid Corp
CTVA,Materials,Corteva Inc
CUBE,Real Estate,CubeSmart
CUBI,Financials,Customers Bancorp Inc
CUK,Consumer Discretionary,Carnival PLC
CULP,Consumer Discretionary,Culp Inc
CURO,Financials,CURO Group Holdings Corp
CURV,Consumer Discretionary,Torrid Holdings Inc
CUZ,Real Estate,Cousins Properties Inc
CVE,Energy,Cenovus Energy Inc
CVEO,Industrials,Civeo Corp
CVI,Energy,CVR Energy Inc
CVNA,Consumer Discretionary,Carvana Co
CVS,Health Care,CVS Health Corp
CVX,Energy,Chevron Corp
CW,Industrials,Curtiss-Wright Corp
CWAN,Information Technology,Clearwater Analytics Holdings Inc
CWEN,Utilities,Clearway Energy Inc
CWENa,Utilities,Clearway Energy Inc
CWH,Consumer Discretionary,Camping World Holdings Inc
CWK,Real Estate,Cushman & Wakefield PLC
CWT,Utilities,California Water Service Group
CX,Materials,Cemex SAB de CV
CXM,Information Technology,Sprinklr Inc
CXT,Industrials,Crane NXT Co
CXW,Industrials,CoreCivic Inc
CYD,Industrials,China Yuchai International Ltd
CYH,Health Care,Community Health Systems Inc
CZOO,Consumer Discretionary,Cazoo Group Ltd
D,Utilities,Dominion Energy Inc
DAC,Industrials,Danaos Corp
DAL,Industrials,Delta Air Lines Inc
DAN,Consumer Discretionary,Dana Inc
DAO,Consumer Discretionary,Youdao Inc
DAR,Consumer Staples,Darling Ingredients Inc
DASH,Consumer Discretionary,DoorDash Inc
DAVA,Information Technology,Endava PLC
DB,Financials,Deutsche Bank AG
DBD,Information Technology,Diebold Nixdorf Inc
DBI,Consumer Discretionary,Designer Brands Inc
DBRG,Real Estate,DigitalBridge Group Inc
DCI,Industrials,Donaldson Company Inc
DCO,Industrials,Ducommun Inc
DD,Materials,Dupont De Nemours Inc
DDD,Industrials,3D Systems Corp
DDL,Consumer Staples,Dingdong (Cayman) Ltd
DDS,Consumer Discretionary,Dillard's Inc
DE,Industrials,Deere & Co
DEA,Real Estate,Easterly Government Properties Inc
DECK,Consumer Discretionary,Deckers Outdoor Corp
DEI,Real Estate,Douglas Emmett Inc
DELL,Information Technology,Dell Technologies Inc
DEN,Energy,Denbury Inc
DEO,Consumer Staples,Diageo PLC
DESP,Consumer Discretionary,Despegar.com Corp
DFH,Consumer Discretionary,Dream Finders Homes Inc
DFIN,Financials,Donnelley Financial Solutions Inc
DFS,Financials,Discover Financial Services
DG,Consumer Staples,Dollar General Corp
DGX,Health Care,Quest Diagnostics Inc
DHI,Consumer Discretionary,DR Horton Inc
DHR,Health Care,Danaher Corp
DHT,Energy,DHT Holdings Inc
DHX,Communication Services,DHI Group Inc
DIN,Consumer Discretionary,Dine Brands Global Inc
DINO,Energy,HF Sinclair Corp
DIS,Communication Services,Walt Disney Co
DK,Energy,Delek US Holdings Inc
DKS,Consumer Discretionary,DICK'S Sporting Goods Inc
DLB,Information Technology,Dolby Laboratories Inc
DLR,Real Estate,Digital Realty Trust Inc
DLX,Industrials,Deluxe Corp
DM,Industrials,Desktop Metal Inc
DMS,Communication Services,Digital Media Solutions Inc
DNA,Materials,Ginkgo Bioworks Holdings Inc
DNB,Industrials,Dun & Bradstreet Holdings Inc
DNMR,Materials,Danimer Scientific Inc
DNOW,Industrials,NOW Inc
DO,Energy,Diamond Offshore Drilling Inc
DOC,Real Estate,Physicians Realty Trust
DOCN,Information Technology,DigitalOcean Holdings Inc
DOCS,Health Care,Doximity Inc
DOLE,Consumer Staples,Dole PLC
DOMA,Real Estate,Doma Holdings Inc
DOOR,Industrials,Masonite International Corp
DOUG,Real Estate,Douglas Elliman Inc
DOV,Industrials,Dover Corp
DOW,Materials,Dow Inc
DPZ,Consumer Discretionary,Domino's Pizza Inc
DQ,Information Technology,Daqo New Energy Corp
DRD,Materials,DRDGOLD Ltd
DRH,Real Estate,Diamondrock Hospitality Co
DRI,Consumer Discretionary,Darden Restaurants Inc
DRQ,Energy,Dril-Quip Inc
DSX,Industrials,Diana Shipping Inc
DT,Information Technology,Dynatrace Inc
DTC,Consumer Discretionary,Solo Brands Inc
DTE,Utilities,DTE Energy Co
DTM,Energy,DT Midstream Inc
DUK,Utilities,Duke Energy Corp
DV,Information Technology,DoubleVerify Holdings Inc
DVA,Health Care,DaVita Inc
DVN,Energy,Devon Energy Corp
DX,Financials,Dynex Capital Inc
DXC,Information Technology,DXC Technology Co
DY,Industrials,Dycom Industries Inc
E,Energy,Eni SpA
EAF,Industrials,GrafTech International Ltd
EARN,Financials,Ellington Residential Mortgage REIT
EAT,Consumer Discretionary,Brinker International Inc
EB,Communication Services,Eventbrite Inc
EBF,Industrials,Ennis Inc
EBR,Utilities,Brazilian Electric Power Co
EBRb,Utilities,Brazilian Electric Power Co
EBS,Health Care,Emergent BioSolutions Inc
EC,Energy,Ecopetrol SA
ECL,Materials,Ecolab Inc
ECVT,Materials,Ecovyst Inc
ED,Utilities,Consolidated Edison Inc
EDN,Utilities,Empresa Distribuidora y Comercializadora Norte SA
EDR,Communication Services,Endeavor Group Holdings Inc
EDU,Consumer Discretionary,New Oriental Education & Technology Group Inc
EE,Energy,Excelerate Energy Inc
EEX,Communication Services,Emerald Holding Inc
EFC,Financials,Ellington Financial Inc
EFX,Industrials,Equifax Inc
EFXT,Energy,Enerflex Ltd
EGLE,Industrials,Eagle Bulk Shipping Inc
EGO,Materials,Eldorado Gold Corp
EGP,Real Estate,Eastgroup Properties Inc
EGY,Energy,VAALCO Energy Inc
EHAB,Health Care,Enhabit Inc
EHC,Health Care,Encompass Health Corp
EIG,Financials,Employers Holdings Inc
EIX,Utilities,Edison International
EL,Consumer Staples,Estee Lauder Companies Inc
ELAN,Health Care,Elanco Animal Health Inc
ELF,Consumer Staples,elf Beauty Inc
ELME,Real Estate,Elme Communities
ELP,Utilities,Companhia Paranaense de Energia
ELS,Real Estate,Equity LifeStyle Properties Inc
ELV,Health Care,Elevance Health Inc
EME,Industrials,EMCOR Group Inc
EMN,Materials,Eastman Chemical Co
EMR,Industrials,Emerson Electric Co
ENB,Energy,Enbridge Inc
ENFN,Information Technology,Enfusion Inc
ENIC,Utilities,Enel Chile SA
ENLC,Energy,EnLink Midstream LLC
ENOV,Health Care,Enovis Corp
ENR,Consumer Staples,Energizer Holdings Inc
ENS,Industrials,EnerSys
ENV,Information Technology,Envestnet Inc
ENVA,Financials,Enova International Inc
ENZ,Health Care,Enzo Biochem Inc
EOG,Energy,EOG Resources Inc
EPAC,Industrials,Enerpac Tool Group Corp
EPAM,Information Technology,Epam Systems Inc
EPC,Consumer Staples,Edgewell Personal Care Co
EPR,Real Estate,EPR Properties
EPRT,Real Estate,Essential Properties Realty Trust Inc
EQC,Real Estate,Equity Commonwealth
EQH,Financials,Equitable Holdings Inc
EQNR,Energy,Equinor ASA
EQR,Real Estate,Equity Residential
EQT,Energy,EQT Corp
ERF,Energy,Enerplus Corp
ERJ,Industrials,Embraer SA
ERO,Materials,Ero Copper Corp
ES,Utilities,Eversource Energy
ESAB,Industrials,ESAB Corp
ESE,Industrials,ESCO Technologies Inc
ESI,Materials,Element Solutions Inc
ESMT,Information Technology,EngageSmart Inc
ESNT,Financials,Essent Group Ltd
ESRT,Real Estate,Empire State Realty Trust Inc
ESS,Real Estate,Essex Property Trust Inc
ESTC,Information Technology,Elastic NV
ESTE,Energy,Earthstone Energy Inc
ETD,Consumer Discretionary,Ethan Allen Interiors Inc
ETN,Industrials,Eaton Corporation PLC
ETR,Utilities,Entergy Corp
ETRN,Energy,Equitrans Midstream Corp
ETWO,Information Technology,E2open Parent Holdings Inc
EURN,Energy,Euronav NV
EVA,Energy,Enviva Inc
EVC,Communication Services,Entravision Communications Corp
EVEX,Industrials,Eve Holding Inc
EVH,Health Care,Evolent Health Inc
EVR,Financials,Evercore Inc
EVRI,Consumer Discretionary,Everi Holdings Inc
EVTC,Financials,Evertec Inc
