"Date","Ticker","Name","Industry","buy/sell(mil shares)","buy/sell(mil $)","total outstandings(mil shares)","percent","quarter","aaa"
"2023-03-31","CARR","Carrier Global Corp","Industrials",4.2,190,835,0.5,"1Q23",190
"2023-03-31","TT","Trane Technologies PLC","Industrials",1,177.1,229,0.4,"1Q23",177.1
"2023-03-31","BILL","BILL Holdings Inc","Information Technology",1.8,171.4,106,1.7,"1Q23",171.4
"2023-03-31","ENB","Enbridge Inc","Energy",4.3,168.7,2025,0.2,"1Q23",168.7
"2023-03-31","KR","Kroger Co","Consumer Staples",3.5,158.9,717,0.5,"1Q23",158.9
"2023-03-31","ERIC","Telefonaktiebolaget LM Ericsson","Information Technology",27.1,154.2,3334,0.8,"1Q23",154.2
"2023-03-31","CRM","Salesforce Inc","Information Technology",0.9,150.9,1000,0.1,"1Q23",150.9
"2023-03-31","LUV","Southwest Airlines Co","Industrials",4.2,144.5,595,0.7,"1Q23",144.5
"2023-03-31","BAP","Credicorp Ltd","Financials",1,138.3,80,1.2,"1Q23",138.3
"2023-03-31","UBER","Uber Technologies Inc","Industrials",4.3,135.5,2014,0.2,"1Q23",135.5
"2023-03-31","LESL","Leslie's Inc","Consumer Discretionary",10.2,132.8,184,5.5,"1Q23",132.8
"2023-03-31","HLN","HALEON PLC","Consumer Staples",16,127.5,9235,0.2,"1Q23",127.5
"2023-03-31","AIG","American International Group Inc","Financials",2,115.1,728,0.3,"1Q23",115.1
"2023-03-31","EPAM","Epam Systems Inc","Information Technology",0.4,113.6,58,0.7,"1Q23",113.6
"2023-03-31","SU","Suncor Energy Inc","Energy",3.5,113.5,1322,0.3,"1Q23",113.5
"2023-03-31","EWBC","East West Bancorp Inc","Financials",1.6,111,141,1.1,"1Q23",111
"2023-03-31","FNF","Fidelity National Financial Inc","Financials",2.8,108.6,272,1,"1Q23",108.6
"2023-03-31","MCO","Moody's Corp","Financials",0.3,103.6,184,0.2,"1Q23",103.6
"2023-03-31","CRH","CRH PLC","Materials",2,95.1,742,0.3,"1Q23",95.1
"2023-03-31","ABEV","Ambev SA","Consumer Staples",36.2,94.8,15750,0.2,"1Q23",94.8
"2023-03-31","XP","XP Inc","Financials",6.6,94.3,561,1.2,"1Q23",94.3
"2023-03-31","FND","Floor & Decor Holdings Inc","Consumer Discretionary",1,92.5,106,0.9,"1Q23",92.5
"2023-03-31","BKR","Baker Hughes Co","Energy",3,91.6,1012,0.3,"1Q23",91.6
"2023-03-31","COP","Conocophillips","Energy",0.8,89.7,1210,0.1,"1Q23",89.7
"2023-03-31","K","Kellogg Co","Consumer Staples",1.3,89.6,343,0.4,"1Q23",89.6
"2023-03-31","VAL","Valaris Ltd","Energy",1.3,89.5,75,1.7,"1Q23",89.5
"2023-03-31","GEHC","GE Healthcare Technologies Inc","Health Care",1.2,85.7,455,0.3,"1Q23",85.7
"2023-03-31","JD","JD.Com Inc","Consumer Discretionary",1.6,83.7,3159,0.1,"1Q23",83.7
"2023-03-31","SWKS","Skyworks Solutions Inc","Information Technology",0.7,82.9,159,0.4,"1Q23",82.9
"2023-03-31","NTRS","Northern Trust Corp","Financials",0.9,81.7,208,0.4,"1Q23",81.7
"2023-03-31","TGTX","TG Therapeutics Inc","Health Care",5.1,77.3,146,3.5,"1Q23",77.3
"2023-03-31","FERG","Ferguson PLC","Industrials",0.5,75.4,205,0.2,"1Q23",75.4
"2023-03-31","JAZZ","Jazz Pharmaceuticals PLC","Health Care",0.5,71.3,63,0.8,"1Q23",71.3
"2023-03-31","ROIV","Roivant Sciences Ltd","Health Care",8.2,67.6,758,1.1,"1Q23",67.6
"2023-03-31","APTV","Aptiv PLC","Consumer Discretionary",0.6,66.1,271,0.2,"1Q23",66.1
"2023-03-31","ITUB","Itau Unibanco Holding SA","Financials",13.5,64.6,9804,0.1,"1Q23",64.6
"2023-03-31","FFIV","F5 Inc","Information Technology",0.4,62.4,60,0.7,"1Q23",62.4
"2023-03-31","NTR","Nutrien Ltd","Materials",0.8,61.9,500,0.2,"1Q23",61.9
"2023-03-31","MTB","M&T Bank Corp","Financials",0.4,60.3,168,0.2,"1Q23",60.3
"2023-03-31","EQR","Equity Residential","Real Estate",1,60,379,0.3,"1Q23",60
"2023-03-31","CFG","Citizens Financial Group Inc","Financials",1.5,59.4,484,0.3,"1Q23",59.4
"2023-03-31","MRO","Marathon Oil Corp","Energy",2.3,59.3,623,0.4,"1Q23",59.3
"2023-03-31","MGA","Magna International Inc","Consumer Discretionary",1,59.1,286,0.3,"1Q23",59.1
"2023-03-31","ILMN","Illumina Inc","Health Care",0.3,58.5,158,0.2,"1Q23",58.5
"2023-03-31","FBIN","Fortune Brands Innovations Inc","Industrials",0.9,56.9,127,0.7,"1Q23",56.9
"2023-03-31","BKI","Black Knight Inc","Information Technology",0.9,56.6,157,0.6,"1Q23",56.6
"2023-03-31","CG","Carlyle Group Inc","Financials",1.7,55.8,364,0.5,"1Q23",55.8
"2023-03-31","VTRS","Viatris Inc","Health Care",5,55.5,1197,0.4,"1Q23",55.5
"2023-03-31","STZ","Constellation Brands Inc","Consumer Staples",0.2,55.3,184,0.1,"1Q23",55.3
"2023-03-31","TAP","Molson Coors Beverage Co","Consumer Staples",1.1,55.2,203,0.5,"1Q23",55.2
"2023-03-31","TECK","Teck Resources Ltd","Materials",1.4,53.6,514,0.3,"1Q23",53.6
"2023-03-31","CEIX","CONSOL Energy Inc","Energy",0.9,52.9,34,2.6,"1Q23",52.9
"2023-03-31","APLS","Apellis Pharmaceuticals Inc","Health Care",0.9,51,116,0.8,"1Q23",51
"2023-03-31","IMCR","Immunocore Holdings PLC","Health Care",0.9,50.9,48,1.9,"1Q23",50.9
"2023-03-31","HHC","Howard Hughes Corp","Real Estate",0.6,50.5,50,1.2,"1Q23",50.5
"2023-03-31","BCYC","Bicycle Therapeutics PLC","Health Care",1.9,48.9,30,6.3,"1Q23",48.9
"2023-03-31","HAL","Halliburton Co","Energy",1.3,48.4,903,0.1,"1Q23",48.4
"2023-03-31","KRTX","Karuna Therapeutics Inc","Health Care",0.3,48,37,0.8,"1Q23",48
"2023-03-31","IQV","IQVIA Holdings Inc","Health Care",0.2,47.7,186,0.1,"1Q23",47.7
"2023-03-31","AWK","American Water Works Company Inc","Utilities",0.3,47,195,0.2,"1Q23",47
"2023-03-31","PNC","PNC Financial Services Group Inc","Financials",0.3,45.3,399,0.1,"1Q23",45.3
"2023-03-31","GNRC","Generac Holdings Inc","Industrials",0.4,45.1,62,0.6,"1Q23",45.1
"2023-03-31","HAS","Hasbro Inc","Consumer Discretionary",0.8,44.1,139,0.6,"1Q23",44.1
"2023-03-31","THC","Tenet Healthcare Corp","Health Care",0.8,43.2,103,0.8,"1Q23",43.2
"2023-03-31","JXN","Jackson Financial Inc","Financials",1.1,43.1,81,1.4,"1Q23",43.1
"2023-03-31","SSNC","SS&C Technologies Holdings Inc","Industrials",0.7,43.1,249,0.3,"1Q23",43.1
"2023-03-31","SWK","Stanley Black & Decker Inc","Industrials",0.5,42.8,153,0.3,"1Q23",42.8
"2023-03-31","HMC","Honda Motor Co Ltd","Consumer Discretionary",1.7,42.6,1811,0.1,"1Q23",42.6
"2023-03-31","MET","MetLife Inc","Financials",0.6,42.6,769,0.1,"1Q23",42.6
"2023-03-31","CZR","Caesars Entertainment Inc","Consumer Discretionary",0.9,42.1,215,0.4,"1Q23",42.1
"2023-03-31","F","Ford Motor Co","Consumer Discretionary",3.2,40.2,4000,0.1,"1Q23",40.2
"2023-03-31","EOG","EOG Resources Inc","Energy",0.3,40.1,588,0.1,"1Q23",40.1
"2023-03-31","FITB","Fifth Third Bancorp","Financials",1.2,38.5,681,0.2,"1Q23",38.5
"2023-03-31","MAN","ManpowerGroup Inc","Industrials",0.5,38.4,51,1,"1Q23",38.4
"2023-03-31","AYI","Acuity Brands Inc","Industrials",0.2,38.2,32,0.6,"1Q23",38.2
"2023-03-31","EVH","Evolent Health Inc","Health Care",1.2,37.8,113,1.1,"1Q23",37.8
"2023-03-31","RGEN","Repligen Corp","Health Care",0.2,37.5,56,0.4,"1Q23",37.5
"2023-03-31","BLK","BlackRock Inc","Financials",0.1,37.4,150,0.1,"1Q23",37.4
"2023-03-31","CVE","Cenovus Energy Inc","Energy",2,37.3,1909,0.1,"1Q23",37.3
"2023-03-31","EXPE","Expedia Group Inc","Consumer Discretionary",0.4,37.2,150,0.3,"1Q23",37.2
"2023-03-31","ERJ","Embraer SA","Industrials",2.8,36.8,740,0.4,"1Q23",36.8
"2023-03-31","CTSH","Cognizant Technology Solutions Corp","Information Technology",0.6,36.2,507,0.1,"1Q23",36.2
"2023-03-31","BHC","Bausch Health Companies Inc","Health Care",4.5,35.9,364,1.2,"1Q23",35.9
"2023-03-31","CNC","Centene Corp","Health Care",0.5,35.5,552,0.1,"1Q23",35.5
"2023-03-31","CHRD","Chord Energy Corp","Energy",0.3,35.2,42,0.7,"1Q23",35.2
"2023-03-31","DEI","Douglas Emmett Inc","Real Estate",2.3,34,176,1.3,"1Q23",34
"2023-03-31","UBSI","United Bankshares Inc","Financials",0.9,33.9,135,0.7,"1Q23",33.9
"2023-03-31","CMA","Comerica Inc","Financials",0.5,33.8,132,0.4,"1Q23",33.8
"2023-03-31","HOMB","Home BancShares Inc","Financials",1.5,33.8,204,0.7,"1Q23",33.8
"2023-03-31","CNX","CNX Resources Corp","Energy",2.1,33,168,1.2,"1Q23",33
"2023-03-31","SAM","Boston Beer Company Inc","Consumer Staples",0.1,32.7,12,0.8,"1Q23",32.7
"2023-03-31","WELL","Welltower Inc","Real Estate",0.4,31.9,496,0.1,"1Q23",31.9
"2023-03-31","AVA","Avista Corp","Utilities",0.8,31.4,75,1.1,"1Q23",31.4
"2023-03-31","DOOR","Masonite International Corp","Industrials",0.4,31.4,22,1.8,"1Q23",31.4
"2023-03-31","BPOP","Popular Inc","Financials",0.5,31.2,72,0.7,"1Q23",31.2
"2023-03-31","JBI","Janus International Group Inc","Industrials",3,31.2,147,2,"1Q23",31.2
"2023-03-31","CPNG","Coupang Inc","Consumer Discretionary",2,31.1,1777,0.1,"1Q23",31.1
"2023-03-31","AER","AerCap Holdings NV","Industrials",0.5,30.5,238,0.2,"1Q23",30.5
"2023-03-31","FANG","Diamondback Energy Inc","Energy",0.2,29.8,182,0.1,"1Q23",29.8
"2023-03-31","BN","Brookfield Corp","Financials",0.9,29.6,1564,0.1,"1Q23",29.6
"2023-03-31","ETWO","E2open Parent Holdings Inc","Information Technology",4.8,29.3,302,1.6,"1Q23",29.3
"2023-03-31","MMM","3M Co","Industrials",0.3,28.7,552,0.1,"1Q23",28.7
"2023-03-31","SNOW","Snowflake Inc.","Information Technology",0.2,27.4,325,0.1,"1Q23",27.4
"2023-03-31","TOL","Toll Brothers Inc","Consumer Discretionary",0.5,27.4,111,0.5,"1Q23",27.4
"2023-03-31","EGP","Eastgroup Properties Inc","Real Estate",0.2,27.3,44,0.5,"1Q23",27.3
"2023-03-31","JLL","Jones Lang LaSalle Inc","Real Estate",0.2,27.2,48,0.4,"1Q23",27.2
"2023-03-31","MBC","MasterBrand Inc","Industrials",3.1,27.2,128,2.4,"1Q23",27.2
"2023-03-31","TAK","Takeda Pharmaceutical Co Ltd","Health Care",1.7,27.1,1582,0.1,"1Q23",27.1
"2023-03-31","IBKR","Interactive Brokers Group Inc","Financials",0.3,26.9,423,0.1,"1Q23",26.9
"2023-03-31","FIGS","Figs Inc","Health Care",3.5,26.7,167,2.1,"1Q23",26.7
"2023-03-31","ICE","Intercontinental Exchange Inc","Financials",0.3,26.3,560,0.1,"1Q23",26.3
"2023-03-31","MRNA","Moderna Inc","Health Care",0.2,25.6,386,0.1,"1Q23",25.6
"2023-03-31","DNB","Dun & Bradstreet Holdings Inc","Industrials",2,25.5,439,0.5,"1Q23",25.5
"2023-03-31","EIX","Edison International","Utilities",0.4,25.3,383,0.1,"1Q23",25.3
"2023-03-31","GL","Globe Life Inc","Financials",0.2,25.1,97,0.2,"1Q23",25.1
"2023-03-31","SITM","SiTime Corp","Information Technology",0.2,25.1,22,0.9,"1Q23",25.1
"2023-03-31","JEF","Jefferies Financial Group Inc","Financials",0.7,25,233,0.3,"1Q23",25
"2023-03-31","UTHR","United Therapeutics Corp","Health Care",0.1,25,47,0.2,"1Q23",25
"2023-03-31","KBR","KBR Inc","Industrials",0.5,24.9,136,0.4,"1Q23",24.9
"2023-03-31","RVMD","Revolution Medicines Inc","Health Care",1,24.1,106,0.9,"1Q23",24.1
"2023-03-31","BZ","Kanzhun Ltd","Communication Services",1.1,24,445,0.2,"1Q23",24
"2023-03-31","LOB","Live Oak Bancshares Inc","Financials",0.8,23.9,44,1.8,"1Q23",23.9
"2023-03-31","NOV","Nov Inc","Energy",1.1,23.8,394,0.3,"1Q23",23.8
"2023-03-31","LYV","Live Nation Entertainment Inc","Communication Services",0.3,23.5,232,0.1,"1Q23",23.5
"2023-03-31","NWS","News Corp","Communication Services",1.3,23.5,576,0.2,"1Q23",23.5
"2023-03-31","PRTA","Prothena Corporation PLC","Health Care",0.4,23.3,53,0.8,"1Q23",23.3
"2023-03-31","RJF","Raymond James Financial Inc","Financials",0.2,23,215,0.1,"1Q23",23
"2023-03-31","FULT","Fulton Financial Corp","Financials",1.4,22.6,165,0.8,"1Q23",22.6
"2023-03-31","GRFS","Grifols SA","Health Care",2.6,22.3,688,0.4,"1Q23",22.3
"2023-03-31","NTLA","Intellia Therapeutics Inc","Health Care",0.6,22,88,0.7,"1Q23",22
"2023-03-31","SNV","Synovus Financial Corp","Financials",0.6,21.6,146,0.4,"1Q23",21.6
"2023-03-31","COHR","Coherent Corp","Information Technology",0.5,21.3,139,0.4,"1Q23",21.3
"2023-03-31","NYCB","New York Community Bancorp Inc","Financials",2.3,21.1,722,0.3,"1Q23",21.1
"2023-03-31","POR","Portland General Electric Co","Utilities",0.4,21,97,0.4,"1Q23",21
"2023-03-31","ICLR","ICON PLC","Health Care",0.1,20.5,82,0.1,"1Q23",20.5
"2023-03-31","GTLB","GitLab Inc","Information Technology",0.5,20.1,152,0.3,"1Q23",20.1
"2023-03-31","CCK","Crown Holdings Inc","Materials",0.2,19.9,120,0.2,"1Q23",19.9
"2023-03-31","CYTK","Cytokinetics Inc","Health Care",0.5,19.8,96,0.5,"1Q23",19.8
"2023-03-31","LSI","Life Storage Inc","Real Estate",0.2,19.7,85,0.2,"1Q23",19.7
"2023-03-31","ELAN","Elanco Animal Health Inc","Health Care",1.7,19.6,492,0.3,"1Q23",19.6
"2023-03-31","NEOG","Neogen Corp","Health Care",1,19.6,216,0.5,"1Q23",19.6
"2023-03-31","TRNO","Terreno Realty Corp","Real Estate",0.3,19.5,83,0.4,"1Q23",19.5
"2023-03-31","DKNG","DraftKings Inc","Consumer Discretionary",1.2,19.3,462,0.3,"1Q23",19.3
"2023-03-31","EQC","Equity Commonwealth","Real Estate",0.8,18.8,110,0.7,"1Q23",18.8
"2023-03-31","LSXMK","Liberty Media Corp","Communication Services",0.5,18.7,614,0.1,"1Q23",18.7
"2023-03-31","AQN","Algonquin Power & Utilities Corp","Utilities",2.5,18.4,688,0.4,"1Q23",18.4
"2023-03-31","CF","CF Industries Holdings Inc","Materials",0.2,17.9,196,0.1,"1Q23",17.9
"2023-03-31","APG","APi Group Corp","Industrials",0.8,17.7,235,0.3,"1Q23",17.7
"2023-03-31","ODFL","Old Dominion Freight Line Inc","Industrials",0.1,17.7,110,0.1,"1Q23",17.7
"2023-03-31","CPRI","Capri Holdings Ltd","Consumer Discretionary",0.3,17.6,126,0.2,"1Q23",17.6
"2023-03-31","MTCH","Match Group Inc","Communication Services",0.4,17.4,279,0.1,"1Q23",17.4
"2023-03-31","NARI","Inari Medical Inc","Health Care",0.3,17.4,57,0.5,"1Q23",17.4
"2023-03-31","ALLY","Ally Financial Inc","Financials",0.6,17.2,301,0.2,"1Q23",17.2
"2023-03-31","FSLY","Fastly Inc","Information Technology",1.4,17.2,127,1.1,"1Q23",17.2
"2023-03-31","GWRE","Guidewire Software Inc","Information Technology",0.2,17.2,82,0.2,"1Q23",17.2
"2023-03-31","LSXMA","Liberty Media Corp","Communication Services",0.5,17.2,614,0.1,"1Q23",17.2
"2023-03-31","IGT","International Game Technology PLC","Consumer Discretionary",0.7,16.9,200,0.3,"1Q23",16.9
"2023-03-31","CYBR","Cyberark Software Ltd","Information Technology",0.1,16.8,41,0.2,"1Q23",16.8
"2023-03-31","TRS","TriMas Corp","Materials",0.6,16.8,41,1.5,"1Q23",16.8
"2023-03-31","ADT","ADT Inc","Consumer Discretionary",2,16.5,922,0.2,"1Q23",16.5
"2023-03-31","DCPH","Deciphera Pharmaceuticals Inc","Health Care",1,16.5,79,1.3,"1Q23",16.5
"2023-03-31","FG","F&G Annuities & Life Inc","Financials",0.8,16.4,126,0.6,"1Q23",16.4
"2023-03-31","CLVT","Clarivate PLC","Industrials",1.6,16.2,676,0.2,"1Q23",16.2
"2023-03-31","CNXC","Concentrix Corp","Industrials",0.1,16,52,0.2,"1Q23",16
"2023-03-31","HBI","HanesBrands Inc","Consumer Discretionary",2.4,15.3,349,0.7,"1Q23",15.3
"2023-03-31","IR","Ingersoll Rand Inc","Industrials",0.3,15,405,0.1,"1Q23",15
"2023-03-31","MTDR","Matador Resources Co","Energy",0.3,15,119,0.3,"1Q23",15
"2023-03-31","CCAP","Crescent Capital BDC Inc","Financials",1,14.2,37,2.7,"1Q23",14.2
"2023-03-31","CWAN","Clearwater Analytics Holdings Inc","Information Technology",0.8,14.2,241,0.3,"1Q23",14.2
"2023-03-31","STX","Seagate Technology Holdings PLC","Information Technology",0.2,14.2,207,0.1,"1Q23",14.2
"2023-03-31","SLM","SLM Corp","Financials",1,14.1,242,0.4,"1Q23",14.1
"2023-03-31","EQH","Equitable Holdings Inc","Financials",0.5,14,384,0.1,"1Q23",14
"2023-03-31","RRR","Red Rock Resorts Inc","Consumer Discretionary",0.3,14,104,0.3,"1Q23",14
"2023-03-31","DEN","Denbury Inc","Energy",0.2,13.7,50,0.4,"1Q23",13.7
"2023-03-31","EXR","Extra Space Storage Inc","Real Estate",0.1,13.3,135,0.1,"1Q23",13.3
"2023-03-31","FNCH","Finch Therapeutics Group Inc","Health Care",1,13.3,48,2.1,"1Q23",13.3
"2023-03-31","JBLU","JetBlue Airways Corp","Industrials",1.7,13.3,328,0.5,"1Q23",13.3
"2023-03-31","AEM","Agnico Eagle Mines Ltd","Materials",0.3,12.9,492,0.1,"1Q23",12.9
"2023-03-31","PAHC","Phibro Animal Health Corp","Health Care",0.8,12.8,41,2,"1Q23",12.8
"2023-03-31","CERT","Certara Inc","Health Care",0.6,12.3,160,0.4,"1Q23",12.3
"2023-03-31","VAC","Marriott Vacations Worldwide Corp","Consumer Discretionary",0.1,12.3,37,0.3,"1Q23",12.3
"2023-03-31","GBX","Greenbrier Companies Inc","Industrials",0.4,12.2,33,1.2,"1Q23",12.2
"2023-03-31","PHG","Koninklijke Philips NV","Health Care",0.7,12.2,889,0.1,"1Q23",12.2
"2023-03-31","UVV","Universal Corp","Consumer Staples",0.2,12.1,25,0.8,"1Q23",12.1
"2023-03-31","GTLS","Chart Industries Inc","Industrials",0.1,12,42,0.2,"1Q23",12
"2023-03-31","ATSG","Air Transport Services Group Inc","Industrials",0.5,11.9,71,0.7,"1Q23",11.9
"2023-03-31","GPOR","Gulfport Energy Corp","Energy",0.2,11.9,19,1.1,"1Q23",11.9
"2023-03-31","AU","AngloGold Ashanti Ltd","Materials",0.6,11.8,419,0.1,"1Q23",11.8
"2023-03-31","BYD","Boyd Gaming Corp","Consumer Discretionary",0.2,11.7,102,0.2,"1Q23",11.7
"2023-03-31","ZM","Zoom Video Communications Inc","Information Technology",0.2,11.6,296,0.1,"1Q23",11.6
"2023-03-31","RCKT","Rocket Pharmaceuticals Inc","Health Care",0.6,11.5,79,0.8,"1Q23",11.5
"2023-03-31","SHOO","Steven Madden Ltd","Consumer Discretionary",0.3,11.4,76,0.4,"1Q23",11.4
"2023-03-31","MEG","Montrose Environmental Group Inc","Industrials",0.2,11.3,30,0.7,"1Q23",11.3
"2023-03-31","RBA","RB Global Inc","Industrials",0.2,11.3,182,0.1,"1Q23",11.3
"2023-03-31","KALU","Kaiser Aluminum Corp","Materials",0.1,11.1,16,0.6,"1Q23",11.1
"2023-03-31","VIV","Telefonica Brasil SA","Communication Services",1.5,11.1,1664,0.1,"1Q23",11.1
"2023-03-31","DNUT","Krispy Kreme Inc","Consumer Discretionary",0.8,10.8,168,0.5,"1Q23",10.8
"2023-03-31","TCBI","Texas Capital Bancshares Inc","Financials",0.2,10.7,48,0.4,"1Q23",10.7
"2023-03-31","STGW","Stagwell Inc","Communication Services",1.5,10.5,293,0.5,"1Q23",10.5
"2023-03-31","LIND","Lindblad Expeditions Holdings Inc","Consumer Discretionary",1,10.4,53,1.9,"1Q23",10.4
"2023-03-31","AEL","American Equity Investment Life Holding Co","Financials",0.2,10.3,78,0.3,"1Q23",10.3
"2023-03-31","TGNA","Tegna Inc","Communication Services",0.6,10.3,224,0.3,"1Q23",10.3
"2023-03-31","EXPD","Expeditors International of Washington Inc","Industrials",0.1,10,153,0.1,"1Q23",10
"2023-03-31","ITRI","Itron Inc","Information Technology",0.2,10,45,0.4,"1Q23",10
"2023-03-31","ONON","On Holding AG","Consumer Discretionary",0.4,9.6,317,0.1,"1Q23",9.6
"2023-03-31","SCPH","scPharmaceuticals Inc","Health Care",1.3,9.6,36,3.6,"1Q23",9.6
"2023-03-31","CLDT","Chatham Lodging Trust","Real Estate",0.8,9.4,49,1.6,"1Q23",9.4
"2023-03-31","REXR","Rexford Industrial Realty Inc","Real Estate",0.2,9.4,208,0.1,"1Q23",9.4
"2023-03-31","REZI","Resideo Technologies Inc","Industrials",0.5,9.2,147,0.3,"1Q23",9.2
"2023-03-31","KYMR","Kymera Therapeutics Inc","Health Care",0.3,8.9,55,0.5,"1Q23",8.9
"2023-03-31","SBGI","Sinclair Broadcast Group Inc","Communication Services",0.5,8.9,68,0.7,"1Q23",8.9
"2023-03-31","EPRT","Essential Properties Realty Trust Inc","Real Estate",0.4,8.6,149,0.3,"1Q23",8.6
"2023-03-31","MHK","Mohawk Industries Inc","Consumer Discretionary",0.1,8.4,64,0.2,"1Q23",8.4
"2023-03-31","XPRO","Expro Group Holdings NV","Energy",0.4,8.4,109,0.4,"1Q23",8.4
"2023-03-31","AEO","American Eagle Outfitters Inc","Consumer Discretionary",0.6,8.3,196,0.3,"1Q23",8.3
"2023-03-31","GSM","Ferroglobe PLC","Materials",1.8,8.2,187,1,"1Q23",8.2
"2023-03-31","ADC","Agree Realty Corp","Real Estate",0.1,8.1,93,0.1,"1Q23",8.1
"2023-03-31","SHLS","Shoals Technologies Group Inc","Industrials",0.3,8.1,170,0.2,"1Q23",8.1
"2023-03-31","SHG","Shinhan Financial Group Co Ltd","Financials",0.3,8,509,0.1,"1Q23",8
"2023-03-31","DAR","Darling Ingredients Inc","Consumer Staples",0.1,7.8,160,0.1,"1Q23",7.8
"2023-03-31","INT","World Fuel Services Corp","Energy",0.3,7.8,62,0.5,"1Q23",7.8
"2023-03-31","TBI","TrueBlue Inc","Industrials",0.4,7.7,32,1.2,"1Q23",7.7
"2023-03-31","AOS","A O Smith Corp","Industrials",0.1,7.6,151,0.1,"1Q23",7.6
"2023-03-31","ASGN","ASGN Inc","Industrials",0.1,7.6,49,0.2,"1Q23",7.6
"2023-03-31","CNNE","Cannae Holdings Inc","Financials",0.3,7.5,76,0.4,"1Q23",7.5
"2023-03-31","ASTL","Algoma Steel Group Inc","Materials",0.9,7.3,104,0.9,"1Q23",7.3
"2023-03-31","NTGR","NETGEAR Inc","Information Technology",0.4,7.3,29,1.4,"1Q23",7.3
"2023-03-31","ARW","Arrow Electronics Inc","Information Technology",0.1,7.2,57,0.2,"1Q23",7.2
"2023-03-31","CHEF","Chefs' Warehouse Inc","Consumer Staples",0.2,7.1,40,0.5,"1Q23",7.1
"2023-03-31","QDEL","QuidelOrtho Corp","Health Care",0.1,7.1,67,0.1,"1Q23",7.1
"2023-03-31","SEE","Sealed Air Corp","Materials",0.1,7.1,144,0.1,"1Q23",7.1
"2023-03-31","GVA","Granite Construction Inc","Industrials",0.2,7,44,0.5,"1Q23",7
